Geographic Area Name,Mean AGE ,Percent under 19 years,Percent between 19-45 years,Percent between 45-65,Percent over 65,Percent RACE One  RACE White,Percent Two or more races,Percent RACE One  RACE Black or African American,Percent RACE One  RACE American Indian and Alaska Native,Percent RACE One  RACE Asian,Percent HISPANIC OR LATINO AND  RACE Total population Hispanic or Latino (of any  RACE ),Percent RACE One  RACE Native Hawaiian and Other Pacific Islander,Percent!!Estimate!!Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years High school graduate,Population 18 to 24 years Bachelor's degree or higher,Population 25 years and over High school graduate,Population 25 years and over Bachelor's degree
Alabama,37.8205,25.4,38.6,26.5,14.4,68.2,1.7,26.8,0.5,1.3,4.1,0,13.7,32.1,7.1,30.6,15.4
Alaska,34.9185,27.8,44.3,25.5,9.3,64.4,8.6,3.2,14.6,6.1,6.9,1.3,14,39.3,7.4,28,19
Arizona,37.3725,26.4,39.5,24.2,15.1,75.8,3.6,4.3,4.4,3.2,30.9,0.2,15.5,33,7.7,23.9,18.1
Arkansas,37.1995,26.8,38,25.3,14.4,76.6,2.6,15.5,0.6,1.4,7.2,0.3,15.6,33.1,7.6,34.3,14.2
California,36.1845,25.8,42.6,25.1,11.8,59.7,4.8,5.8,0.7,14.3,38.9,0.4,11.7,29.9,10,20.5,20.6
Colorado,36.678,25.3,42.6,25.6,12,84,3.3,4.2,1,3.2,21.3,0.2,12.7,32.1,11.6,22,24.9
Connecticut,38.13,24.1,38.1,28.8,13.6,76.7,3.1,10.6,0.3,4.5,15.7,0,9.4,29.5,15.5,27.5,21.9
Delaware,38.651,24.1,37.5,27,15.6,69.2,2.7,22,0.4,3.7,9.2,0.2,16.8,34.7,9.5,32.1,18.4
District of Columbia,35.648,20.9,54.4,21.7,10.1,40.7,2.6,47.1,0.3,3.9,10.9,0,7.8,28.9,24,17.8,24
Florida,39.55,22.5,37.1,26.7,17.3,75.6,2.6,16.1,0.3,2.7,24.9,0.1,15.5,30.6,9,28.9,18.2
Georgia,36.261,27.3,40.8,25.6,11.9,58.7,2.5,31.6,0.4,3.9,9.3,0.1,16.2,32.7,9.2,27.8,18.7
Hawaii,37.437,23.7,40.8,25.3,14.3,25.1,23.9,1.8,0.2,38,10.4,10.1,7.3,41.3,9.8,28,21.4
Idaho,36.158,28.7,38.7,24.1,13.5,89.7,2.5,0.7,1.6,1.5,12.3,0.1,12,36.1,6.1,27.9,18.7
Illinois,36.909,25.5,40.3,26.3,12.6,71.3,2.5,14.2,0.2,5.3,17,0,12,28.8,13.8,26,20.9
Indiana,36.8125,26.6,39.6,26,13.1,83.5,2.4,9.3,0.3,2.1,6.8,0.1,15.9,30.6,9.8,33.7,16.3
Iowa,37.0205,26.3,38.6,25.8,13.9,90.4,1.8,3.6,0.3,2.4,5.7,0.1,11.2,27.3,10.8,31.1,19.1
Kansas,36.19,27.7,39.8,24.9,12.9,84.6,3.6,5.7,0.7,2.7,11.6,0.1,12.5,28.7,10.3,26.2,20.7
Kentucky,37.582,25.8,38.6,26.8,13.8,87.1,2.1,8.3,0.3,1.4,3.4,0.1,13.4,33.6,8.7,32.3,14
Louisiana,36.534,26.6,40.6,25.3,12.7,62,2,32.4,0.5,1.7,4.9,0,17.5,35.5,7.4,34,15.2
Maine,40.186,21.8,34.4,30.1,16.6,94.4,2,1.5,0.6,1.3,1.6,0,11.6,32.1,10.9,32.9,18.8
Maryland,37.329,24.9,39.7,27.4,12.7,56.5,3.3,29.8,0.3,6.3,9.8,0,11.7,29.4,14.2,25.4,20.9
Massachusetts,37.9785,23.3,40.7,27.6,13.5,78.5,3.1,7.4,0.2,6.5,11.4,0.1,10.9,27.1,17.6,24.5,23.8
Michigan,37.932,24.8,38.5,27.6,14.1,78.5,3.1,13.7,0.5,2.9,4.9,0,13.4,29.2,9.8,29.3,17.2
Minnesota,36.867,26,39,26.6,12.8,83.3,2.8,6,1.1,4.7,5.2,0,11.9,27.2,13.4,25.2,23.1
Mississippi,36.6375,27.6,39.4,25.2,13.3,58.5,1.1,38,0.4,0.9,2.9,0,15.2,30.5,5.4,30.8,13.5
Missouri,37.5065,25.7,38.6,26.4,14,82.3,2.5,11.5,0.5,1.9,4,0.2,13.4,30.8,9.8,30.7,17.7
Montana,38.5245,24.6,37.9,27.1,15.5,89,3.1,0.4,6.4,0.8,3.6,0.1,11.1,35.5,8.4,29,20.9
Nebraska,36.0795,27.7,39.8,24.7,12.8,87.8,2.4,4.7,0.8,2.2,10.6,0.1,10.4,28.8,10.1,26.4,21.1
Nevada,37.484,25.2,40.3,25.7,13.7,66.9,4.7,8.9,1.2,8.3,28.5,0.7,17,36.6,5.4,29.1,15.3
New Hampshire,39.377,22.4,36.6,30.6,14.7,93.4,2.2,1.2,0.1,2.4,3.5,0,10.4,31.7,15.5,27,22.5
New Jersey,37.669,24.7,38.6,27.9,13.1,68.1,2.7,13.4,0.2,9.5,20,0,11.4,28.6,16.3,27.6,23.7
New Mexico,37.304,26.3,38.9,25.1,14.5,74,3.2,2,9.3,1.6,48.5,0.1,17.1,30,6.2,26.6,15.5
New York,37.4205,23.8,41.1,26.7,13.1,63.5,3.1,15.6,0.4,8.4,19,0,11.7,26.3,16.3,26.2,20.1
North Carolina,37.5695,25.6,39.3,26.4,13.8,68.9,2.6,21.5,1.2,2.7,9.2,0.1,14,31.9,10.3,25.8,19.6
North Dakota,35.585,26.1,43.7,24.1,12.1,87.2,2.8,2.5,5.5,1.2,3.5,0,7,31.3,12.2,27.1,21.7
Ohio,37.824,25.1,38.2,27.2,14.1,81.6,2.8,12.4,0.2,2.1,3.6,0,13.7,33.8,10.1,33.3,17.2
Oklahoma,36.5165,27.3,40.1,24.8,13.3,72.4,7.7,7.3,7.6,2,10.3,0.2,16,34.9,6.7,31.2,16.8
Oregon,38.1535,23.6,40,26,14.7,84.4,5.1,1.9,1.1,4.1,12.8,0.4,12.7,30.8,10,22.9,20
Pennsylvania,38.456,23.7,37.7,27.8,14.8,80.9,2.5,11,0.2,3.3,7,0,12.1,33.7,12.2,35.1,18.8
Rhode Island,38.1655,23.1,39.9,27.9,13.9,80.5,3.1,6.4,0.5,3.5,14.9,0.1,11.1,29.9,13.6,27.8,20.6
South Carolina,38.055,25,38.5,26.2,15,67.4,2.2,27,0.3,1.5,5.5,0.1,13.6,32.9,9,29,17.4
South Dakota,36.427,27.7,38.1,25.3,13.5,84.7,2.5,1.7,8.9,1.5,3.7,0,14.2,29.1,9.8,29,19.6
Tennessee,37.6485,25.2,39.3,26.4,14,77.8,2.1,16.8,0.3,1.7,5.2,0.1,11.6,35.5,9.9,32.4,16.7
Texas,34.929,29.1,42.3,23.8,10.7,74.3,2.6,12.1,0.5,4.7,39.1,0.1,15.1,32.4,8.9,25.2,18.9
Utah,32.4305,33.3,44.7,19.9,9.3,86.3,2.9,1.1,1,2.3,13.8,1,12.2,30.6,6.6,22.7,21.4
Vermont,39.6415,22.3,37.4,29.4,15.9,94.4,2,1.3,0.3,1.5,2,0,9.4,31.6,11.6,29.3,21.1
Virginia,37.373,25.1,40.5,26.7,13,67.8,3.7,19,0.3,6.3,9,0.1,10.7,30.6,12.9,24,21.7
Washington,37.226,24.9,40.9,26.1,13,75.7,5.7,3.7,1.3,8.2,12.4,0.7,15.2,30.5,12,22.3,22
West Virginia,39.368,23.2,36.6,27.8,16.4,93.1,1.7,3.8,0.2,0.8,1.5,0,12.5,34.9,8.1,39.7,12.6
Wisconsin,37.797,24.9,38.5,27.5,13.9,85.5,2.4,6.3,0.9,2.7,6.7,0,10.7,31.6,11.5,31.1,19.3
Wyoming,36.8745,26.8,39.1,25.6,13.3,92,2.6,1,2.3,1,9.6,0.1,15.9,32.4,6.7,29.3,17.4
,,,,,,,4.3,,,,,,,,,,
