Geographic Area Name,Mean AGE ,Percent AGE Under 5 years,Percent AGE 5 to 9 years,Percent AGE 10 to 14 years,Percent AGE 15 to 19 years,Percent AGE 20 to 24 years,Percent AGE 25 to 34 years,Percent AGE 35 to 44 years,Percent AGE 45 to 54 years,Percent AGE 55 to 59 years,Percent AGE 60 to 64 years,Percent AGE 65 to 74 years,Percent AGE 75 to 84 years,Percent RACE Total population One  RACE ,Percent RACE Total population Two or more  RACES,Percent RACE One  RACE ,Percent RACE One  RACE White,Percent RACE One  RACE Black or African American,Percent RACE One  RACE American Indian and Alaska Native,Percent RACE One  RACE Asian,Percent HISPANIC OR LATINO AND  RACE Total population Hispanic or Latino (of any  RACE ),Percent RACE One  RACE Native Hawaiian and Other Pacific Islander
Alabama,37.8205,5.9,6.4,6.2,6.9,6.7,12.9,12.3,13.3,7,6.2,9.6,4.8,98.3,1.7,98.3,68.2,26.8,0.5,1.3,4.1,0
Alaska,34.9185,7.1,7.2,6.9,6.6,7.7,16.4,12.5,12.6,7.3,5.6,7,2.3,91.4,8.6,91.4,64.4,3.2,14.6,6.1,6.9,1.3
Arizona,37.3725,6.3,6.6,6.6,6.9,6.9,13.4,12.3,12.2,6,6,9.9,5.2,96.4,3.6,96.4,75.8,4.3,4.4,3.2,30.9,0.2
Arkansas,37.1995,6.3,6.7,6.6,7.2,6.5,12.8,12.2,12.7,6.5,6.1,9.5,4.9,97.4,2.6,97.4,76.6,15.5,0.6,1.4,7.2,0.3
California,36.1845,6.3,6.4,6.5,6.6,7.2,15,13.2,13.2,6.3,5.6,7.9,3.9,95.2,4.8,95.2,59.7,5.8,0.7,14.3,38.9,0.4
Colorado,36.678,6,6.5,6.4,6.4,7,15.1,13.5,13,6.7,5.9,8.3,3.7,96.7,3.3,96.7,84,4.2,1,3.2,21.3,0.2
Connecticut,38.13,5.2,5.6,6.3,7,7,12.2,11.9,14.7,7.4,6.7,9,4.6,96.9,3.1,96.9,76.7,10.6,0.3,4.5,15.7,0
Delaware,38.651,5.8,5.7,6.2,6.4,6.2,13.5,11.6,13.2,7.3,6.5,10.5,5.1,97.3,2.7,97.3,69.2,22,0.4,3.7,9.2,0.2
District of Columbia,35.648,6.4,5.1,3.9,5.5,8.6,22.7,14.5,11.4,5.2,5.1,6.8,3.3,97.4,2.6,97.4,40.7,47.1,0.3,3.9,10.9,0
Florida,39.55,5.4,5.5,5.7,5.9,6.1,12.9,12,13.4,6.9,6.4,11.1,6.2,97.4,2.6,97.4,75.6,16.1,0.3,2.7,24.9,0.1
Georgia,36.261,6.4,6.8,7,7.1,6.9,13.6,13.4,13.6,6.4,5.6,8.2,3.7,97.5,2.5,97.5,58.7,31.6,0.4,3.9,9.3,0.1
Hawaii,37.437,6.4,6,5.8,5.5,6.9,14.4,12.6,12.4,6.4,6.5,9.7,4.6,76.1,23.9,76.1,25.1,1.8,0.2,38,10.4,10.1
Idaho,36.158,6.8,7.5,7.2,7.2,6.7,13.1,12.2,11.8,6.3,6,9.2,4.3,97.5,2.5,97.5,89.7,0.7,1.6,1.5,12.3,0.1
Illinois,36.909,6,6.3,6.5,6.7,6.8,13.8,12.9,13.4,6.7,6.2,8.4,4.2,97.5,2.5,97.5,71.3,14.2,0.2,5.3,17,0
Indiana,36.8125,6.3,6.7,6.6,7,7.2,12.9,12.3,13,6.8,6.2,8.7,4.4,97.6,2.4,97.6,83.5,9.3,0.3,2.1,6.8,0.1
Iowa,37.0205,6.3,6.5,6.5,7,7.1,12.6,11.8,12.5,6.8,6.5,9,4.9,98.2,1.8,98.2,90.4,3.6,0.3,2.4,5.7,0.1
Kansas,36.19,6.8,7,6.8,7.1,7.3,13,12.2,12.1,6.7,6.1,8.5,4.4,96.4,3.6,96.4,84.6,5.7,0.7,2.7,11.6,0.1
Kentucky,37.582,6.2,6.3,6.4,6.9,6.7,12.7,12.5,13.5,6.9,6.4,9.3,4.5,97.9,2.1,97.9,87.1,8.3,0.3,1.4,3.4,0.1
Louisiana,36.534,6.6,6.5,6.8,6.7,6.9,14.3,12.5,12.5,6.7,6.1,8.6,4.1,98,2,98,62,32.4,0.5,1.7,4.9,0
Maine,40.186,4.8,5.6,5.2,6.2,5.6,11.8,11.4,14.4,8.2,7.5,11.4,5.2,98,2,98,94.4,1.5,0.6,1.3,1.6,0
Maryland,37.329,6,6.3,6.2,6.4,6.6,13.8,12.7,14.2,7,6.2,8.6,4.1,96.7,3.3,96.7,56.5,29.8,0.3,6.3,9.8,0
Massachusetts,37.9785,5.3,5.3,5.9,6.8,7.3,14,12.1,14.1,7.1,6.4,9,4.5,96.9,3.1,96.9,78.5,7.4,0.2,6.5,11.4,0.1
Michigan,37.932,5.8,6,6.2,6.8,7.1,12.6,11.7,13.6,7.3,6.7,9.5,4.6,96.9,3.1,96.9,78.5,13.7,0.5,2.9,4.9,0
Minnesota,36.867,6.4,6.7,6.4,6.5,6.6,13.5,12.3,13.2,7.1,6.3,8.5,4.3,97.2,2.8,97.2,83.3,6,1.1,4.7,5.2,0
Mississippi,36.6375,6.3,6.9,7,7.4,7.1,12.7,12.5,12.6,6.5,6.1,9,4.3,98.9,1.1,98.9,58.5,38,0.4,0.9,2.9,0
Missouri,37.5065,6.1,6.3,6.5,6.8,6.7,13.1,12.1,13,7.1,6.3,9.2,4.8,97.5,2.5,97.5,82.3,11.5,0.5,1.9,4,0.2
Montana,38.5245,5.9,6.1,6.3,6.3,7.1,12.2,11.5,12.3,7.5,7.3,10.5,5,96.9,3.1,96.9,89,0.4,6.4,0.8,3.6,0.1
Nebraska,36.0795,6.9,7,7,6.8,7.1,13.4,12.2,12,6.5,6.2,8.3,4.5,97.6,2.4,97.6,87.8,4.7,0.8,2.2,10.6,0.1
Nevada,37.484,6.2,6.4,6.5,6.1,6.3,14.4,13.3,13.3,6.4,6,9.4,4.3,95.3,4.7,95.3,66.9,8.9,1.2,8.3,28.5,0.7
New Hampshire,39.377,4.8,5.6,5.4,6.6,6.6,12,11.4,15.2,8.3,7.1,10.1,4.6,97.8,2.2,97.8,93.4,1.2,0.1,2.4,3.5,0
New Jersey,37.669,5.8,6.2,6.3,6.4,6.4,12.9,12.9,14.5,7.2,6.2,8.7,4.4,97.3,2.7,97.3,68.1,13.4,0.2,9.5,20,0
New Mexico,37.304,6,6.6,6.8,6.9,6.8,13.3,12,12,6.7,6.4,9.7,4.8,96.8,3.2,96.8,74,2,9.3,1.6,48.5,0.1
New York,37.4205,5.9,5.8,5.8,6.3,7,14.6,12.5,13.7,6.8,6.2,8.7,4.4,96.9,3.1,96.9,63.5,15.6,0.4,8.4,19,0
North Carolina,37.5695,5.9,6.4,6.5,6.8,6.7,13,12.9,13.7,6.6,6.1,9.3,4.5,97.4,2.6,97.4,68.9,21.5,1.2,2.7,9.2,0.1
North Dakota,35.585,7.2,6.6,5.9,6.4,8.5,15.3,11.4,11.5,6.7,5.9,7.8,4.3,97.2,2.8,97.2,87.2,2.5,5.5,1.2,3.5,0
Ohio,37.824,6,6.1,6.4,6.6,6.7,12.9,11.9,13.3,7.3,6.6,9.3,4.8,97.2,2.8,97.2,81.6,12.4,0.2,2.1,3.6,0
Oklahoma,36.5165,6.7,6.9,6.9,6.8,7.1,13.7,12.2,12.3,6.6,5.9,8.8,4.5,92.3,7.7,92.3,72.4,7.3,7.6,2,10.3,0.2
Oregon,38.1535,5.7,5.9,5.9,6.1,6.5,14,13,12.6,6.5,6.9,10.2,4.5,94.9,5.1,94.9,84.4,1.9,1.1,4.1,12.8,0.4
Pennsylvania,38.456,5.6,5.7,5.9,6.5,6.5,13.1,11.6,13.6,7.4,6.8,9.7,5.1,97.5,2.5,97.5,80.9,11,0.2,3.3,7,0
Rhode Island,38.1655,5.1,4.9,6.1,7,7.4,13.5,11.6,13.9,7.5,6.5,9.2,4.7,96.9,3.1,96.9,80.5,6.4,0.5,3.5,14.9,0.1
South Carolina,38.055,5.8,6.2,6.3,6.7,6.6,13,12.3,13,6.7,6.5,10.4,4.6,97.8,2.2,97.8,67.4,27,0.3,1.5,5.5,0.1
South Dakota,36.427,7,7.1,6.7,6.9,6.9,12.9,11.4,11.8,7,6.5,8.9,4.6,97.5,2.5,97.5,84.7,1.7,8.9,1.5,3.7,0
Tennessee,37.6485,6.1,6.2,6.4,6.5,6.7,13.3,12.6,13.4,6.7,6.3,9.4,4.6,97.9,2.1,97.9,77.8,16.8,0.3,1.7,5.2,0.1
Texas,34.929,7.2,7.3,7.4,7.2,7.1,14.6,13.5,12.6,6,5.2,7.2,3.5,97.4,2.6,97.4,74.3,12.1,0.5,4.7,39.1,0.1
Utah,32.4305,8.3,8.8,8.3,7.9,8.3,14.7,13.4,10.3,5,4.6,6.2,3.1,97.1,2.9,97.1,86.3,1.1,1,2.3,13.8,1
Vermont,39.6415,4.9,5.3,5.4,6.7,7.3,11.5,11.3,13.9,7.9,7.6,11,4.9,98,2,98,94.4,1.3,0.3,1.5,2,0
Virginia,37.373,6,6.2,6.2,6.7,6.9,13.7,13,13.8,6.8,6.1,8.8,4.2,96.3,3.7,96.3,67.8,19,0.3,6.3,9,0.1
Washington,37.226,6.2,6.4,6.1,6.2,6.6,14.7,13,13.1,6.7,6.3,9,4,94.3,5.7,94.3,75.7,3.7,1.3,8.2,12.4,0.7
West Virginia,39.368,5.6,5.6,5.8,6.2,6.3,11.8,12.2,13.3,7.4,7.1,11.1,5.3,98.3,1.7,98.3,93.1,3.8,0.2,0.8,1.5,0
Wisconsin,37.797,5.8,6.2,6.3,6.6,7,12.6,11.9,13.5,7.4,6.6,9.2,4.7,97.6,2.4,97.6,85.5,6.3,0.9,2.7,6.7,0
Wyoming,36.8745,6.5,7.5,6.4,6.4,6.5,13.8,12.3,11.8,6.7,7.1,9.2,4.1,97.4,2.6,97.4,92,1,2.3,1,9.6,0.1
Puerto Rico,39.0925,4.7,5.4,6.2,7,7.2,12.1,12.9,12.9,6.5,6.2,10.7,6,95.7,4.3,95.7,66.8,11.6,0.2,0.2,98.7,0
